"cliente_id","nombre_empresa","nombre_contacto","titulo_contacto","ciudad","region","codigo_postal","pais","telefono","fax","direccion_Arr[0]","direccion_Arr[1]"
"RICSU","Richter Supermarkt","Michael Holz","Sales Manager","Gen„®ve","N/A","1203","Switzerland","0897034214",,"237","Grenzacherweg"
"ROMEY","Romero y tomillo","Alejandra Camino","Accounting Manager","Madrid","N/A","28001","Spain","917456200","917456210","1","Gran V√≠a"
"SANTG","Sant√© Gourmet","Jonas Bergulfsen","Owner","Stavern","N/A","4110","Norway","07989235","07989247","78","Erling Skakkes gate"
"SAVEA","Save-a-lot Markets","Jose Pavarotti","Sales Representative","Boise","ID","83720","United States","2085558097",,"187","Suffolk Ln."
"SEVES","Seven Seas Imports","Hari Kumar","Sales Manager","London","N/A","OX15 4NB","United Kingdom","1715551717","1715555646","90","Wadhurst Rd."
"SIMOB","Simons bistro","Jytte Petersen","Owner","Kobenhavn","N/A","1734","Denmark","31123456","31133557","34","Vinb√¶ltet"
"SPECD","Sp√©cialit√©s du monde","Dominique Perrier","Marketing Manager","Paris","N/A","75016","France","147556010","147556020","25","rue Lauriston"
"SPLIR","Split Rail Beer & Ale","Art Braunschweiger","Sales Manager","Lander","WY","82520","United States","3075554680","3075556525","555","P.O. Box"
"SUPRD","Supr√™mes d√©lices","Pascale Cartrain","Accounting Manager","Charleroi","N/A","B-6000","Belgium","07123672220","07123672221","255","Boulevard Tirou"
"THEBI","The Big Cheese","Liz Nixon","Marketing Manager","Portland","OR","97201","United States","5035553612",,"89","Jefferson Way Suite 2"
"THECR","The Cracker Box","Liu Wong","Marketing Assistant","Butte","MT","59801","United States","4065555834","4065558083","55","Grizzly Peak Rd."
"TOMSP","Toms Spezialit√§ten","Karin Josephs","Marketing Manager","M„ºnster","N/A","44087","Germany","0251031259","0251035695","48","Luisenstr."
"TORTU","Tortuga Restaurante","Miguel Angel Paolino","Owner","M„©xico D.f.","N/A","05033","Mexico","55552933",,"123","Avda. Azteca"
"TRADH","Tradi√ß√£o Hipermercados","Anabela Domingues","Sales Representative","Sao Paulo","SP","05634-030","Brazil","115552167","115552168","414","Av. In√™s de Castro"
"TRAIH","Trail's Head Gourmet Provisioners","Helvetius Nagy","Sales Associate","Kirkland","WA","98034","United States","2065558257","2065552174","722","DaVinci Blvd."
"VAFFE","Vaffeljernet","Palle Ibsen","Sales Manager","√Örhus","N/A","8200","Denmark","86213243","86223344","45","Smagsloget"
"VICTE","Victuailles en stock","Mary Saveley","Sales Agent","Lyon","N/A","69004","France","78325486","78325487","2","rue du Commerce"
"VINET","Vins et alcools Chevalier","Paul Henriot","Accounting Manager","Reims","N/A","51100","France","26471510","26471511","59","rue de l'Abbaye"
"WANDK","Die Wandernde Kuh","Rita M„ºller","Sales Representative","Stuttgart","N/A","70563","Germany","0711020361","0711035428","900","Adenauerallee"
"WARTH","Wartian Herkku","Pirkko Koskitalo","Accounting Manager","Oulu","N/A","90110","Finland","981443655","981443655","38","Torikatu"
"WELLI","Wellington Importadora","Paula Parente","Sales Manager","Resende","SP","08737-363","Brazil","145558122",,"12","Rua do Mercado"
"WHITC","White Clover Markets","Karl Jablonski","Owner","Seattle","WA","98128","United States","2065554112","2065554115","305","- 14th Ave. S. Suite 3B"
"WILMK","Wilman Kala","Matti Karttunen","Owner/Marketing Assistant","Helsinki","N/A","21240","Finland","902248858","902248858","45","Keskuskatu"
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Owner","Warszawa","N/A","01-012","Poland","266427012","266427012","68","ul. Filtrowa"
